['antennae_l_01_mover', 16.312668501499775, -27.335335897400185, 39.56144067185896, 44.11136549335491, 28.278920078851236, -9.841135682716573, 1.0, 1.0, 1.0]
['antennae_l_02_mover', 6.264677789443165, 43.73954818438093, 2.0641039461363873, 16.069394627634484, 27.824708589083897, -3.1046795956699476, 1.0, 1.0, 1.0]
['antennae_r_01_mover', -16.312667846679688, 27.335336685180664, -39.561439514160156, 44.111366271972656, 28.278919219970707, -9.84113597869873, 1.0, 1.0, 1.0]
['antennae_r_02_mover', -6.264678001403809, -43.73954772949219, -2.064103841781616, 16.069395065307617, 27.824708938598633, -3.104679584503174, 1.0, 1.0, 1.0]
['ball_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['ball_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_distal_phalange_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_distal_phalange_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_metatarsal_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_metatarsal_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_proximal_phalange_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['bigtoe_proximal_phalange_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['calf_mover_l', 29.5051962814801, 6.729362617844087, 2.685696319846375, 2.354530595607805, 0.1257554742668745, -21.173846507746653, 1.0, 1.0, 1.0]
['calf_mover_r', -29.50519561767578, -6.729362487792969, -2.6856963634490967, 2.354530595607805, 0.1257554742668745, -21.173846507746653, 1.0, 1.0, 1.0]
['calf_twist_01_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['calf_twist_01_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['clavicle_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['clavicle_mover_r', -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
['foot_mover_l', 37.112198539809505, -1.5234304886339505, -3.7084976577277953, -0.28206222319441754, -4.131625546210666, 0.6584330895759816, 1.0, 1.0, 1.0]
['foot_mover_r', -37.11219787597656, 1.5234304666519165, 3.7084977626800537, -0.28206222319441754, -4.131625546210666, 0.6584330895759816, 1.0, 1.0, 1.0]
['hand_mid_pivot_mover_l', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
